tmfc,lat,lon,t2m,psl
2026041000,5.8506,-122.1354,300.552,100819.0
2026041000,-33.0951,41.8577,293.872,102395.0
2026041000,-59.3714,48.3341,272.001,98576.5
2026041000,-27.96,-141.9073,298.642,100513.0
2026041000,-15.959,153.1564,300.563,100886.0
2026041000,-22.033,78.5401,298.297,101660.0
2026041000,-31.4523,-53.7227,288.573,101750.0
2026041000,-18.6762,-118.4332,299.235,101501.0
2026041000,50.7558,105.1937,268.879,102024.0
2026041000,31.9164,-35.7934,291.524,103371.0
2026041000,-48.2179,36.1501,278.089,101525.0
2026041000,7.8201,-81.1665,302.503,100763.0
2026041000,45.8533,-74.4682,282.134,101983.0
2026041000,16.1661,-155.5425,298.515,100979.0
2026041000,-50.292,-48.3178,281.264,99703.8
2026041000,28.27,-67.9019,296.476,101702.0
2026041000,-65.4372,43.6317,269.125,98680.3
2026041000,-37.5112,-114.6647,292.975,101899.0
2026041400,-86.2688,-33.5118,230.586,100176.0
2026041400,-64.6126,42.0139,271.335,99400.0
2026041400,-54.0322,-5.2539,272.96,100340.0
2026041400,5.1246,52.1926,301.437,101015.0
2026041400,13.2765,41.4556,301.254,100889.0
2026041400,-5.5405,85.1267,301.421,101041.0
2026041400,-58.5763,-136.9324,272.631,98982.6
2026041400,-24.1594,-4.302,296.049,101576.0
2026041400,-18.1106,117.4825,301.531,101420.0
2026041400,-16.6171,-112.267,298.242,101474.0
2026041400,28.0551,19.3057,295.675,100814.0
2026041400,44.1569,135.0991,277.574,101833.0
2026041400,5.8506,-122.1354,300.762,100947.0
2026041400,-33.0951,41.8577,294.59,101717.0
2026041400,-59.3714,48.3341,273.012,99787.0
2026041400,-27.96,-141.9073,296.038,101562.0
2026041400,-15.959,153.1564,300.706,101101.0
2026041400,-22.033,78.5401,298.181,101735.0
2026041400,-31.4523,-53.7227,293.363,101667.0
2026041400,-18.6762,-118.4332,298.864,101549.0
2026041400,50.7558,105.1937,275.067,100825.0
2026041400,31.9164,-35.7934,292.777,102368.0
2026041400,-48.2179,36.1501,280.758,100400.0
2026041400,7.8201,-81.1665,301.215,100868.0
2026041400,45.8533,-74.4682,286.383,100873.0
2026041400,16.1661,-155.5425,298.82,101418.0
2026041400,-50.292,-48.3178,279.964,101957.0
2026041400,28.27,-67.9019,294.91,102280.0
2026041400,-65.4372,43.6317,271.561,99300.1
2026041400,-37.5112,-114.6647,292.714,101412.0
2026041800,-86.2688,-33.5118,229.233,99747.0
2026041800,-64.6126,42.0139,272.84,99295.9
2026041800,-54.0322,-5.2539,273.202,101439.0
2026041800,5.1246,52.1926,301.27,100898.0
2026041800,13.2765,41.4556,302.738,100566.0
2026041800,-5.5405,85.1267,302.033,100820.0
2026041800,-58.5763,-136.9324,277.246,99202.6
2026041800,-24.1594,-4.302,294.947,101786.0
2026041800,-18.1106,117.4825,301.076,101250.0
2026041800,-16.6171,-112.267,298.059,101361.0
2026041800,28.0551,19.3057,288.708,101357.0
2026041800,44.1569,135.0991,283.805,100580.0
2026041800,5.8506,-122.1354,300.101,100917.0
2026041800,-33.0951,41.8577,294.423,101355.0
2026041800,-59.3714,48.3341,273.987,100115.0
2026041800,-27.96,-141.9073,296.664,101910.0
2026041800,-15.959,153.1564,300.346,101363.0
2026041800,-22.033,78.5401,297.961,101750.0
2026041800,-31.4523,-53.7227,292.164,100810.0
2026041800,-18.6762,-118.4332,298.378,101505.0
2026041800,50.7558,105.1937,276.152,100162.0
2026041800,31.9164,-35.7934,292.415,102026.0
2026041800,-48.2179,36.1501,280.661,100105.0
2026041800,7.8201,-81.1665,299.993,100857.0
2026041800,45.8533,-74.4682,285.7,101563.0
2026041800,16.1661,-155.5425,299.115,101369.0
2026041800,-50.292,-48.3178,281.96,101445.0
2026041800,28.27,-67.9019,296.245,101867.0
2026041800,-65.4372,43.6317,272.803,99190.3
2026041800,-37.5112,-114.6647,289.504,102731.0
2026042100,-86.2688,-33.5118,226.638,99194.2
2026042100,-64.6126,42.0139,271.619,98348.0
2026042100,-54.0322,-5.2539,274.82,101345.0
2026042100,5.1246,52.1926,301.668,100807.0
2026042100,13.2765,41.4556,304.366,100339.0
2026042100,-5.5405,85.1267,302.145,100742.0
2026042100,-58.5763,-136.9324,274.825,99113.2
2026042100,-24.1594,-4.302,294.905,101941.0
2026042100,-18.1106,117.4825,302.08,101227.0
2026042100,-16.6171,-112.267,298.299,101347.0
2026042100,28.0551,19.3057,289.292,101653.0
2026042100,44.1569,135.0991,278.71,99863.9
2026042100,5.8506,-122.1354,300.871,101005.0
2026042100,-33.0951,41.8577,295.527,101406.0
2026042100,-59.3714,48.3341,276.486,97075.1
2026042100,-27.96,-141.9073,296.538,101533.0
2026042100,-15.959,153.1564,299.96,101481.0
2026042100,-22.033,78.5401,297.517,101831.0
2026042100,-31.4523,-53.7227,293.099,101509.0
2026042100,-18.6762,-118.4332,298.652,101316.0
2026042100,50.7558,105.1937,271.025,102178.0
2026042100,31.9164,-35.7934,291.032,102297.0
2026042100,-48.2179,36.1501,279.867,99062.3
2026042100,7.8201,-81.1665,300.813,100918.0
2026042100,45.8533,-74.4682,271.588,102505.0
2026042100,16.1661,-155.5425,298.9,101291.0
2026042100,-50.292,-48.3178,280.184,100606.0
2026042100,28.27,-67.9019,296.524,101531.0
2026042100,-65.4372,43.6317,272.014,98550.9
2026042100,-37.5112,-114.6647,290.476,102311.0
2026042500,-86.2688,-33.5118,232.066,99732.3
2026042500,-64.6126,42.0139,272.549,97716.9
2026042500,-54.0322,-5.2539,274.754,101624.0
2026042500,5.1246,52.1926,301.692,100714.0
2026042500,13.2765,41.4556,302.742,100572.0
2026042500,-5.5405,85.1267,301.549,100756.0
2026042500,-58.5763,-136.9324,275.281,96088.1
2026042500,-24.1594,-4.302,294.762,101482.0
2026042500,-18.1106,117.4825,302.139,101435.0
2026042500,-16.6171,-112.267,298.04,101477.0
2026042500,28.0551,19.3057,286.858,101330.0
2026042500,44.1569,135.0991,278.214,101846.0
2026042500,5.8506,-122.1354,301.066,100785.0
2026042500,-33.0951,41.8577,292.725,102475.0
2026042500,-59.3714,48.3341,273.66,99073.6
2026042500,-27.96,-141.9073,297.061,100904.0
2026042500,-15.959,153.1564,299.109,101515.0
2026042500,-22.033,78.5401,297.267,101762.0
2026042500,-31.4523,-53.7227,290.856,101483.0
2026042500,-18.6762,-118.4332,298.697,101546.0
2026042500,50.7558,105.1937,277.73,101979.0
2026042500,31.9164,-35.7934,292.668,101574.0
2026042500,-48.2179,36.1501,280.655,101554.0
2026042500,7.8201,-81.1665,299.786,101049.0
2026042500,45.8533,-74.4682,280.578,101469.0
2026042500,16.1661,-155.5425,298.676,101297.0
2026042500,-50.292,-48.3178,279.776,99659.7
2026042500,28.27,-67.9019,294.343,101588.0
2026042500,-65.4372,43.6317,272.032,97563.6
2026042500,-37.5112,-114.6647,291.86,101872.0
2026042900,-86.2688,-33.5118,224.186,98638.8
2026042900,-64.6126,42.0139,271.343,97703.4
2026042900,-54.0322,-5.2539,273.168,101135.0
2026042900,5.1246,52.1926,302.112,100794.0
2026042900,13.2765,41.4556,302.246,100628.0
2026042900,-5.5405,85.1267,301.638,100815.0
2026042900,-58.5763,-136.9324,276.068,100050.0
2026042900,-24.1594,-4.302,294.653,102401.0
2026042900,-18.1106,117.4825,301.56,101310.0
2026042900,-16.6171,-112.267,297.779,101425.0
2026042900,28.0551,19.3057,294.38,101245.0
2026042900,44.1569,135.0991,283.706,101185.0
2026042900,5.8506,-122.1354,301.692,100783.0
2026042900,-33.0951,41.8577,293.031,100819.0
2026042900,-59.3714,48.3341,273.21,97466.5
2026042900,-27.96,-141.9073,295.862,101818.0
2026042900,-15.959,153.1564,299.576,101348.0
2026042900,-22.033,78.5401,297.387,101581.0
2026042900,-31.4523,-53.7227,283.813,101578.0
2026042900,-18.6762,-118.4332,298.032,101527.0
2026042900,50.7558,105.1937,278.039,101646.0
2026042900,31.9164,-35.7934,291.657,101801.0
2026042900,-48.2179,36.1501,276.804,99837.5
2026042900,7.8201,-81.1665,302.141,100856.0
2026042900,45.8533,-74.4682,288.286,101276.0
